RESULTADOS DE LA FORMACIÓN - ASIGNATURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURSO,TITULACIÓN,COD. TITULACIÓN,ID,ASIGNATURA,ESTUD. MATRICULADOS,CRÉDITOS ASIG.,CRÉDITOS MATRICULADOS,CRÉD. MATRI. 1ª VEZ,CRÉD. MATRI. 2ª VEZ,CRÉD. MATRI. 3ª VEZ,CRÉDITOS PRESENTADOS,CRÉDITOS SUPERADOS,CRÉDITOS RECONOCIDOS,TASA EVALUACIÓN,VAR. % TASA EVAL.,TASA ÉXITO,VAR. % TASA ÉXIT.,TASA ÉXITO EXÁM. REALIZ.,VAR. % ÉXITO EXÁM.,TASA RENDIMIENTO,VAR. % TASA REND.,TASA RECONCIMIENTO,NOTA MEDIA,% SUSPENSOS,% APROBADOS,% NOTABLES,% SOBRESALIENTES,% MATRÍCULAS H.,Nº EXÁM. REALIZADOS,Nº EXÁM. APTOS,% ESTUD. 0 EXÁM.,% ESTUD. 1 EXÁM.,% ESTUD. 2 EXÁM.,% ESTUD. 3 EXÁM.,% ESTUD. 4 EXÁM.,% ESTUD. 5 EXÁM.,Nº EXÁM. REALIZADOS 1PPF,Nº EXÁM. APTOS 1PPF,Nº EXÁM. REALIZADOS 2PPJ,Nº EXÁM. APTOS 2PPJ,Nº EXÁM. REALIZADOS 1PPS,Nº EXÁM. APTOS 1PPS,Nº EXÁM. REALIZADOS 2PPS,Nº EXÁM. APTOS 2PPS,Nº EXÁM. REALIZADOS DIC,Nº EXÁM. APTOS DIC,% ÉXITO 1PPF,% ÉXITO 2PPJ,% ÉXITO 1PPS,% ÉXITO 2PPS,% ÉXITO DIC.,RATIO EXÁM. ESTUD.,FECHA DESCARGA EXCEL,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61021016,ÁLGEBRA LINEAL I,365,6,2190,1728,360,102,558,414,1416,"25,48","-24,55","74,19","-10,63","38,55","-35,37","18,90","-32,57","39,27","6,87","25,81","34,41","31,18","1,08","7,53",179,69,"59,84","31,42","8,74",0,0,0,136,50,0,0,43,19,0,0,0,0,"36,76",,"44,19",,,"0,49",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61021068,ÁLGEBRA LINEAL II,400,6,2400,1794,462,144,540,438,978,"22,50","-33,37","81,11","-2,29","48,99","-17,87","18,25","-34,89","28,95","6,94","18,89","37,78","31,11","8,89","3,33",149,73,"69,50","23,75","6,75",0,0,0,0,0,107,48,0,0,42,25,0,0,,"44,86",,"59,52",,"0,37",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61022091,ÁLGEBRA (MATEMÁTICAS),211,6,1266,798,330,138,444,414,474,"35,07","3,85","93,24","12,32","83,13","39,36","32,70","16,66","27,24","7,82","6,76","24,32","45,95","13,51","9,46",83,69,"64,45","31,75","3,79",0,0,0,0,0,59,50,0,0,24,19,0,0,,"84,75",,"79,17",,"0,39",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61024090,AMPLIACIÓN DE TOPOLOGÍA,29,5,145,115,30,0,70,70,40,"48,28","42,97",100,"20,47","87,50","46,69","48,28","72,24","21,62","7,80",0,"35,71","35,71","21,43","7,14",16,14,"48,28","48,28","3,45",0,0,0,0,0,9,7,0,0,7,7,0,0,,"77,78",,100,,"0,55",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61024032,AMPLIACIÓN DE VARIABLE COMPLEJA,15,5,75,70,5,0,35,30,140,"46,67","38,2","85,71","3,25","54,55","-8,55",40,"42,7","65,12","8,92","14,29","14,29","14,29","57,14",0,11,6,"33,33",60,"6,67",0,0,0,8,4,0,0,3,2,0,0,0,0,50,,"66,67",,,"0,73",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61023073,ANÁLISIS DE FOURIER Y ECUACIONES EN DERIVADAS PARCIALES,73,6,438,366,48,24,192,192,510,"43,84","29,82",100,"20,47",100,"67,64","43,84","56,4","53,80","8,10",0,25,25,"34,38","15,63",32,32,"56,16","43,84",0,0,0,0,0,0,22,22,0,0,10,10,0,0,,100,,100,,"0,44",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61024173,ANÁLISIS MULTIVARIANTE (MATEMÁTICAS),27,5,135,110,25,0,40,40,45,"29,63","-12,26",100,"20,47",80,"34,12","29,63","5,71",25,"5,82",0,"62,50","37,50",0,0,10,8,"66,67","29,63","3,70",0,0,0,0,0,9,7,0,0,1,1,0,0,,"77,78",,100,,"0,37",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61022085,ANÁLISIS NUMÉRICO MATRICIAL E INTERPOLACIÓN,128,6,768,546,168,54,234,210,618,"30,47","-9,77","89,74","8,11","64,81","8,65","27,34","-2,46","44,59","6,25","10,26","61,54","20,51","2,56","5,13",54,35,"66,41",25,"8,59",0,0,0,0,0,37,22,0,0,17,13,0,0,,"59,46",,"76,47",,"0,42",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61044112,ASTROFÍSICA GENERAL,40,5,200,170,30,0,130,105,25,65,"92,48","80,77","-2,7","77,78","30,39","52,50","87,3","11,11","7,07","19,23","34,62","38,46","7,69",0,27,21,"31,58","65,79","2,63",0,0,0,0,0,12,11,0,0,15,10,0,0,,"91,67",,"66,67",,"0,68",16/09/2016 0:30:18,
2015,6102 - GRADO EN MATEMÁTICAS,6102,61022033,CÁLCULO DE PROBABILIDADES I,226,6,1356,852,354,150,414,234,630,"30,53","-9,59","56,52","-31,91","28,89","-51,57","17,26","-38,42","31,72","6,77","43,48","36,23","13,04","7,25",0,135,39,50,"40,27","9,73",0,0,0,94,28,0,0,41,11,0,0,0,0,"29,79",,"26,83",,,"0,60",16/09/2016 0:30:18,
